,article,categorie
0,.,NULL
1,12 MACARON,MACARON
2,ARMORICAIN
3,ARTICLE 295,PAIN
4,BAGUETTE,BAGUETTE
5,BAGUETTE APERO,BAGUETTE
6,BAGUETTE GRAINE,BAGUETTE
7,BANETTE,BAGUETTE
8,BANETTINE,BAGUETTE
9,BOISSON 33CL,BOISSON
10,BOTTEREAU
11,BOULE 200G,PAIN
12,BOULE 400G,PAIN
13,BOULE POLKA,PAIN
14,BRIOCHE,BRIOCHE
15,BRIOCHE DE NOEL,BRIOCHE
16,BRIOCHETTE,BRIOCHE
17,BROWNIES,PATISSERIE
18,BUCHE 4PERS,BUCHE
19,BUCHE 6PERS,BUCHE
20,BUCHE 8PERS,BUCHE
21,CAFE OU EAU,BOISSON
22,CAKE
23,CAMPAGNE,PAIN
24,CARAMEL NOIX
25,CEREAL BAGUETTE,BAGUETTE
26,CHAUSSON AUX POMMES
27,CHOCOLAT
28,CHOU CHANTILLY
29,COMPLET,PAIN
30,COOKIE,PATISSERIE
31,COUPE,NULL
32,CROISSANT,CROISSANT
33,CROISSANT AMANDES,CROISSANT
34,CRUMBLE,CRUMBLE
35,CRUMBLECARAMEL OU PISTAE,CRUMBLE
36,DELICETROPICAL,BOISSON
37,DEMI BAGUETTE,BAGUETTE
38,DEMI PAIN,PAIN
39,DIVERS BOISSONS,BOISSON
40,DIVERS BOULANGERIE,PAIN
41,DIVERS CONFISERIE,CONFISERIE
42,DIVERS PATISSERIE,PATISSERIE
43,DIVERS SANDWICHS,SANDWICH
44,DIVERS VIENNOISERIE,VIENNOISERIE
45,DOUCEUR D HIVER
46,ECLAIR,ECLAIR
47,ECLAIR FRAISE PISTACHE,ECLAIR
48,ENTREMETS
49,FICELLE,BAGUETTE
50,FINANCIER,FINANCIER
51,FINANCIER X5,FINANCIER
52,FLAN,FLAN
53,FLAN ABRICOT,FLAN
54,FONDANT CHOCOLAT
55,FORMULE PATE,SANDWICH
56,FORMULE PLAT PREPARE,SANDWICH
57,FORMULE SANDWICH,SANDWICH
58,FRAISIER
59,FRAMBOISIER
60,GACHE,BRIOCHE
61,GAL FRANGIPANE 4P,GALETTE
62,GAL FRANGIPANE 6P,GALETTE
63,GAL POIRE CHOCO 4P,GALETTE
64,GAL POIRE CHOCO 6P,GALETTE
65,GAL POMME 4P,GALETTE
66,GAL POMME 6P,GALETTE
67,GALETTE 8 PERS,GALETTE
68,GD FAR BRETON,FAR BRETON
69,GD KOUIGN AMANN,KOUIGN AMANN
70,GD NANTAIS,NANTAIS
71,GD PLATEAU SALE,TRAITEUR
72,GRAND FAR BRETON,FAR BRETON
73,GRANDE SUCETTE, CONFISERIE
74,GUERANDAIS
75,KOUIGN AMANN,KOUIGN AMANN
76,MACARON,MACARON
77,MERINGUE
78,MILLES FEUILLES
79,MOISSON
80,NANTAIS,NANTAIS
81,NID DE POULE
82,NOIX JAPONAISE
83,PAILLE
84,PAIN,PAIN
85,PAIN AU CHOCOLAT,PAIN AU CHOCOLAT
86,PAIN AUX RAISINS
87,PAIN BANETTE,BAGUETTE
88,PAIN CHOCO AMANDES,PAIN AU CHOCOLAT
89,PAIN DE MIE,PAIN
90,PAIN GRAINES,PAIN
91,PAIN NOIR,PAIN
92,PAIN S/SEL,PAIN
93,PAIN SUISSE PEPITO
94,PALET BRETON
95,PALMIER
96,PARIS BREST
97,PATES,SANDWICH
98,PLAQUE TARTE 25P,TARTE
99,PLAT,SANDWICH
100,PLAT 6.50E,SANDWICH
101,PLAT 7.00,SANDWICH
102,PLAT 7.60E,SANDWICH
103,PLAT 8.30E,SANDWICH
104,"PLATPREPARE5,50",SANDWICH
105,"PLATPREPARE6,00",SANDWICH
106,"PLATPREPARE6,50",SANDWICH
107,"PLATPREPARE7,00",SANDWICH
108,PT NANTAIS,NANTAIS
109,PT PLATEAU SALE,TRAITEUR
110,QUIM BREAD,PAIN
111,REDUCTION SUCREES 12,REDUCTION
112,REDUCTION SUCREES 24,REDUCTION
113,RELIGIEUSE
114,ROYAL,ROYAL
115,ROYAL 4P,ROYAL
116,ROYAL 6P,ROYAL
117,SABLE F  P
118,SACHET DE CROUTON
119,SACHET DE VIENNOISERIE,VIENNOISERIE
120,SACHET VIENNOISERIE,VIENNOISERIE
121,SAND JB,SANDWICH
122,SAND JB EMMENTAL,SANDWICH
123,SANDWICH COMPLET,SANDWICH
124,SAVARIN
125,SEIGLE,PAIN
126,SPECIAL BREAD,PAIN
127,SPECIAL BREAD KG,PAIN
128,ST HONORE
129,SUCETTE,CONFISERIE
130,TARTE FINE,TARTE
131,TARTE FRAISE 4PER,TARTE
132,TARTE FRAISE 6P,TARTE
133,TARTE FRUITS 4P,TARTE
134,TARTE FRUITS 6P,TARTE
135,TARTELETTE,TARTELETTE
136,TARTELETTE CHOC,TARTELETTE
137,TARTELETTE COCKTAIL,TARTELETTE
138,TARTELETTE FRAISE,TARTELETTE
139,THE,BOISSON
140,TRADITIONAL BAGUETTE,BAGUETTE
141,TRAITEUR,TRAITEUR
142,TRIANGLES
143,TROIS CHOCOLAT
144,TROPEZIENNE,TROPEZIENNE
145,TROPEZIENNE FRAMBOISE,TROPEZIENNE
146,TULIPE
147,VIENNOISE,VIENNOISERIE
148,VIK BREAD,PAIN
